Student_ID,Age,Math_Score,Science_Score,English_Score,Hours_Studied,Pass_Fail
1,18,77.8,75,57.6,6.4,1
2,15,79.7,63.2,60.1,12.7,1
3,16,78.3,70.7,62.1,13.2,1
4,18,71.3,75.5,72.6,11.1,1
5,14,67,59.9,72.9,13.3,1
6,19,67.7,66.9,90.5,20.2,1
7,16,67.1,67.2,76.6,11.4,1
8,16,87,79.6,39.5,17.7,1
9,18,78.9,53.1,75.2,10.2,1
10,13,25.9,67.3,54.6,14.1,1
11,14,79.8,94.8,60.4,16.6,1
12,18,72.9,84.3,62.3,10,1
13,14,69.7,86.9,64,8.4,1
14,14,64.2,68.3,55.5,17.5,1
15,19,86.9,72.5,74.4,20.6,1
16,16,84.2,82,55.1,14.6,1
17,15,58.4,89.8,76.3,12.7,1
18,19,76.1,40.7,98.8,15.8,1
19,19,55.4,49.6,56,15.3,1
20,14,49.3,86.3,68.6,16.2,1
21,17,60.6,64.1,41.7,2.4,0
22,16,82.9,58.6,68.4,9.7,1
23,13,84.3,50.4,79.7,10.8,1
24,19,77.7,60.2,80.6,15.8,1
25,15,80.9,48.4,72.9,15.9,1
26,17,77.7,97.3,82.7,18.2,1
27,17,60.4,67.7,100,16.3,1
28,13,76.5,67.2,92.5,8.5,1
29,19,82,76.2,65.7,22.2,1
30,15,81.3,81.5,54.6,21.4,1
31,16,87.8,81.2,67.1,8.7,1
32,12,80.6,83,60.6,16.7,1
33,15,75.3,59.2,77.4,12,1
34,13,86.1,63.8,57.8,15.7,1
35,17,69.6,78.8,71.1,20.3,1
36,16,56.8,60.6,82.1,25.7,1
37,15,67.6,67.9,70.8,18.8,1
38,12,58.8,73.6,60.6,16.5,1
39,12,59.9,79,86.1,13.3,1
40,14,67.8,43.1,49.5,15.9,1
41,14,58.1,78,68.1,21.8,1
42,18,65.4,64.7,71.5,14.8,1
43,13,41.6,77.9,72.2,10.6,1
44,19,73.2,78.9,74.2,6.9,1
45,15,70,90.5,79.3,17.6,1
46,15,57.7,86.9,71.6,16.2,1
47,19,79.9,86.9,67.6,11.8,1
48,18,84.1,88.2,67.1,20.1,1
49,17,45.9,72.1,64.7,12.9,1
50,17,58.6,68.5,81.5,14.3,1
51,18,58.5,80.2,64.2,14.9,1
52,17,55.9,78.2,82.2,13.2,1
53,14,82.4,63.7,72.2,16.2,1
54,15,67.1,73.7,65.7,20.8,1
55,18,66,67.5,79.4,9.3,1
56,15,39.9,56,63.3,17.4,1
57,19,79.5,86.1,79.7,15.9,1
58,12,51.4,68.8,74.6,15.8,1
59,14,70.9,96.7,64.8,19.4,1
60,16,74.2,45.2,78.3,15.2,1
61,14,90.4,60.2,78.6,17.4,1
62,18,50.4,68.5,85.9,18.6,1
63,16,24.7,83.9,83.6,12.5,1
64,12,72.8,73.6,77.9,16.5,1
65,18,97,72.3,58.5,13.7,1
66,13,88.6,52.2,100,14.3,1
67,15,73.1,51.8,55.2,13.4,1
68,12,62.6,72.5,83.4,17.4,1
69,15,82.1,48.9,77.2,15.4,1
70,17,55.4,60.6,57.9,17,1
71,13,77.1,75,70.5,14.9,1
72,13,77.6,54.2,71.1,7,1
73,12,85.9,90.5,87.7,15.2,1
74,13,100,85.1,63.4,15.3,1
75,16,75.9,46,68.9,16.2,1
76,13,62.4,54.9,44,12,1
77,15,69.6,36,92.8,9,1
78,15,43.5,57,59.2,18.1,1
79,18,59.6,78.7,75.9,13.6,1
80,15,63.9,62.2,70.8,15.9,1
81,18,62.1,74.5,70.8,13.6,1
82,15,72.3,46.7,81.7,15,1
83,16,57.7,79.2,92.1,12.8,1
84,19,86.8,60.2,75,10.2,1
85,18,70,68.2,79.9,17.4,1
86,14,69.9,66.7,75.9,12,1
87,17,65.1,50.2,84.2,15.8,1
88,12,72.3,51.9,66.4,17.1,1
89,15,82.4,81.5,84.9,12.1,1
90,13,57,73.6,85.3,9,1
91,19,60.1,82.7,85,27.1,1
92,15,65.4,72.5,64.1,12.4,1
93,13,49.8,70,70,18.1,1
94,17,57.7,43.8,74.9,24.7,1
95,17,62.9,64.2,55.5,18.9,1
96,17,83.1,67.6,91.1,13.5,1
97,13,73.9,95.3,71.9,14.7,1
98,15,72.9,77.6,75.4,10.8,1
99,17,82.8,89.5,65.1,19.4,1
100,16,67.9,76.4,56.1,17.8,1
101,18,75.9,58,64.8,12.4,1
102,13,68.5,69.6,74.6,9.8,1
103,13,74,71.3,80.1,8.4,1
104,15,61.3,54.9,73.9,19.9,1
105,13,33.4,62.6,76.2,15.6,1
106,13,68,65.1,68,16.1,1
107,17,91.3,90.5,78,10.9,1
108,15,83.9,38.9,89.8,7.7,1
109,17,84.5,84.9,80.5,19.8,1
110,18,88.5,54.9,81.7,15.2,1
111,19,71.3,48.8,75.5,19.5,1
112,18,73,84.5,54,13.1,1
113,19,60.7,78.2,59.5,13.8,1
114,17,65.3,85.6,77.5,18.6,1
115,18,79.2,79.2,71.9,18.7,1
116,15,88.1,96.8,77.3,19,1
117,12,67.9,75.8,92.1,13.5,1
118,17,63.2,65.8,80.7,18.1,1
119,19,70,72.8,87.1,20.5,1
120,16,79,85.4,73.1,14.5,1
121,19,48.3,57.1,62.3,12.4,1
122,16,35.6,58.9,71.3,21.7,1
123,13,61.7,63.7,62.3,11.7,1
124,18,51.7,38.5,90.7,18.1,1
125,16,62.4,69.9,81.5,14.7,1
126,19,67.8,41.6,78.2,5.8,1
127,13,63.2,68.7,86.8,20.6,1
128,12,91.8,80.1,47.8,1.2,0
129,15,74.9,61.3,79.1,5.1,1
130,15,74.5,91.5,56.3,17.6,1
131,15,79.3,47.6,71.9,17.6,1
132,16,52.9,84.7,68.3,11.8,1
133,12,85.6,77.5,79.9,15.7,1
134,16,68.9,44,74.7,2.3,0
135,18,80.1,100,88.1,18.5,1
136,16,53.9,67.1,64.8,16.2,1
137,12,46.7,55.7,80.5,14.8,1
138,12,82.3,48.3,73.9,15.1,1
139,18,75.6,64.9,52.4,17.5,1
140,12,56.5,66.2,61,14.9,1
141,19,57,69.4,70.2,5.6,1
142,12,86.9,63.8,85.3,26,1
143,15,52.2,76.9,77.6,21,1
144,19,94.6,62.6,58,8.6,1
145,19,56.5,40.9,70.3,13.3,1
146,18,79.6,65.9,96.2,13.8,1
147,14,65.1,34.9,73.3,20.4,1
148,14,79,73,68.1,4.2,0
149,12,61.8,54.3,77.9,12.5,1
150,19,67.6,70.3,81.2,6.2,1
151,14,70.6,86.4,66.5,13.6,1
152,14,55,54.7,78,12.6,1
153,12,81.1,82.9,68.1,15.4,1
154,14,62.3,61.9,80.6,12,1
155,16,66.6,92.5,74,11.2,1
156,13,55.1,62.9,77.8,18.1,1
157,18,31.6,56.2,62.9,17.3,1
158,13,67.1,77.6,62.1,17.8,1
159,12,100,61.9,83.3,14.1,1
160,15,81.8,56.2,71,12.1,1
161,18,69.7,61.3,75.4,14.4,1
162,12,66.1,67.4,68.3,17.5,1
163,19,70.3,86.8,82.8,4.1,0
164,15,78.2,40.9,64.7,17,1
165,13,52.3,68.3,70.4,16.5,1
166,12,86.7,76.7,81.4,15.3,1
167,19,80.7,70.7,86.1,14.3,1
168,18,80.8,86.3,65.7,2.2,0
169,18,76.6,67,95.5,12.8,1
170,17,70.3,65.4,75.8,23.9,1
171,19,80.1,76.3,59.5,15.1,1
172,16,78.9,69.4,76.4,13.5,1
173,14,64.7,62.5,67.4,15.1,1
174,15,61.4,75.2,77.2,16.8,1
175,19,71.5,58.9,71.5,18.3,1
176,17,93.2,59.4,72.9,13.9,1
177,14,51.4,60.6,61.1,17.1,1
178,14,48,86.9,83.9,23.4,1
179,12,72.5,22.9,58.1,20,1
180,14,70.8,73.5,58.7,26.7,1
181,16,72.6,68.5,76.4,11.7,1
182,18,73.7,44.5,91.2,23.4,1
183,17,66.7,72.3,67.8,11,1
184,14,92.3,74.7,80.4,16.8,1
185,12,46,76.3,84.9,18.7,1
186,16,57.6,30.9,81.8,12.4,1
187,13,68.5,87.1,68.3,15.4,1
188,18,45.4,57.7,58.9,19.6,1
189,18,67.4,77.6,45.5,11.4,1
190,17,94.9,78.4,68.8,23.3,1
191,18,70.3,55.7,86.1,8.1,1
192,14,73.5,77.2,58.5,24.7,1
193,12,51.1,62.6,80.4,20,1
194,18,60.8,39,60.6,14.6,1
195,18,64.4,84.3,73.3,13,1
196,13,65.2,57.1,80.5,12.5,1
197,13,89.2,56,64.1,14.3,1
198,15,78.4,62.4,74,14.8,1
199,16,53.3,71.8,67,21.3,1
200,14,73.7,67.2,80.5,24.8,1
201,18,77.5,75.7,74.8,16,1
202,19,87.1,49.2,72.7,10.8,1
203,18,93.7,57.6,90.7,12.3,1
204,12,54.8,66.4,79.9,14.1,1
205,15,57.8,94.6,63.7,9.8,1
206,16,51.1,66.4,71,9.1,1
207,19,66.5,83.2,71.1,25.5,1
208,15,77,68.5,73,16.5,1
209,17,84.8,61.2,100,10.8,1
210,16,68.9,64.5,76.5,19.1,1
211,18,65.2,65.6,47.6,9.1,1
212,18,72.3,76.5,65.5,9.5,1
213,16,57.5,87.2,48.8,11,1
214,18,100,73,68,23.3,1
215,14,45.9,84.6,48.2,13.7,1
216,16,72.8,54.5,61.5,2.8,0
217,15,100,62.2,53.8,21.1,1
218,16,70.1,57.9,76.6,13.5,1
219,19,67.1,72.4,72,5.8,1
220,18,64.6,63,75.6,13.4,1
221,14,67.3,78.2,70.7,17.6,1
222,14,90.6,55,55.3,17,1
223,17,36.8,68.6,78.2,24,1
